celex,readable_name,cluster_id,cluster_name,method
12007P,Charter of Fundamental Rights [Charter Charter | Charter of Fundamental Rights of the European Union],9,Criminal Justice & Fundamental Rights,hand
31958R0001,EEC Council Regulation 58/1,15,EU Institutional Framework & Funding,hand
31971R1408,Regulation (EEC) No 1408/71,7,Consumer Rights & Internal Market,keyword
31972R0922,Regulation (EEC) No 922/72,14,"Agriculture, Fisheries & Rural Development",keyword
31976L0207,Equal Treatment Directive [Directive 76/207/EEC],7,Consumer Rights & Internal Market,keyword
31977L0453,Directive 77/453/EEC,13,"Health, Medicines & Life Sciences",keyword
31977L0799,Directive 77/799/EEC,15,EU Institutional Framework & Funding,hand
31979R0234,Regulation (EEC) No 234/79,14,"Agriculture, Fisheries & Rural Development",keyword
31980L0155,Directive 80/155/EEC,7,Consumer Rights & Internal Market,keyword
31980L0777,Directive 80/777/EEC,13,"Health, Medicines & Life Sciences",hand
31982L0891,Directive 82/891/EEC,5,"Financial Markets, Investment & Capital",keyword
31983L0349,Seventh Company Law Directive [Directive 83/349/EEC],5,"Financial Markets, Investment & Capital",keyword
31985L0374,Product Liability Directive [Directive 85/374/EEC],7,Consumer Rights & Internal Market,keyword
31985L0384,Directive 85/384/EEC,7,Consumer Rights & Internal Market,keyword
31985L0432,Directive 85/432/EEC,7,Consumer Rights & Internal Market,keyword
31985L0611,UCITS Directive [Directive 85/611/EEC],5,"Financial Markets, Investment & Capital",keyword
31987L0328,Directive 87/328/EEC,14,"Agriculture, Fisheries & Rural Development",keyword
31988L0361,Directive 88/361/EEC,5,"Financial Markets, Investment & Capital",hand
31988L0388,Flavourings Directive [Directive 88/388/EEC],7,Consumer Rights & Internal Market,keyword
31988L0661,Directive 88/661/EEC,14,"Agriculture, Fisheries & Rural Development",keyword
31989L0106,Construction Products Directive [Council Directive 89/106/EEC],7,Consumer Rights & Internal Market,hand
31989L0108,Quick-Frozen Foods Directive [Directive 89/108/EEC],13,"Health, Medicines & Life Sciences",keyword
31989L0361,Directive 89/361/EEC,14,"Agriculture, Fisheries & Rural Development",keyword
31989L0391,Framework Health and Safety Directive [Directive 89/391/EEC],13,"Health, Medicines & Life Sciences",keyword
31989L0552,Television Without Frontiers Directive [Directive 89/552/EEC],3,"Digital Content, Media & Copyright",keyword
31989L0608,Directive 89/608/EEC,14,"Agriculture, Fisheries & Rural Development",keyword
31989L0665,Directive 89/665/EEC,7,Consumer Rights & Internal Market,keyword
31989L0666,Directive 89/666/EEC,5,"Financial Markets, Investment & Capital",keyword
31990L0219,Directive 90/219/EEC,12,"Environment, Energy & Climate",keyword
31990L0427,Directive 90/427/EEC,14,"Agriculture, Fisheries & Rural Development",keyword
